time,ego_velocity,leader_velocity,space_gap,acc_acceleration
0,32.493,31.043,72.653,-0.0094
0.1,32.49,31.043,71.854,-0.0041808
0.2,32.486,31.04,71.176,-0.00059548
0.3,32.481,31.035,70.658,0
0.4,32.474,31.023,70.249,0
0.5,32.468,31.011,69.902,0
0.6,32.467,31.002,69.584,-0.0107
0.7,32.468,30.992,69.289,-0.073996
0.8,32.469,30.98,69.053,-0.12243
0.9,32.47,30.969,68.886,-0.093329
1,32.471,30.958,68.752,-0.029331
1.1,32.472,30.945,68.629,-0.0013013
1.2,32.474,30.93,68.512,-0.00039894
1.3,32.476,30.914,68.402,-1.1531e-05
1.4,32.479,30.9,68.294,0
1.5,32.483,30.887,68.19,0
1.6,32.483,30.873,68.098,0
1.7,32.483,30.86,68.028,0
1.8,32.483,30.846,67.942,0
1.9,32.484,30.833,67.777,0
2,32.486,30.82,67.51,0
2.1,32.488,30.808,67.235,0
2.2,32.492,30.799,66.952,0
2.3,32.494,30.789,66.642,0
2.4,32.492,30.772,66.283,0
2.5,32.485,30.751,65.876,0
2.6,32.485,30.735,65.476,0
2.7,32.496,30.729,65.076,0
2.8,32.5,30.714,64.739,0.0046071
2.9,32.498,30.693,64.456,0.047984
3,32.497,30.674,64.234,0.078667
3.1,32.5,30.664,64.065,0.064345
3.2,32.505,30.657,63.935,0.039233
3.3,32.505,30.645,63.848,0.022947
3.4,32.502,30.631,63.784,0.0085776
3.5,32.5,30.618,63.731,0.00039254
3.6,32.501,30.605,63.686,0
3.7,32.505,30.593,63.648,0
3.8,32.506,30.577,63.591,0
3.9,32.503,30.556,63.484,0
4,32.5,30.535,63.334,0
4.1,32.502,30.52,63.111,0
4.2,32.505,30.509,62.812,0
4.3,32.507,30.496,62.557,0
4.4,32.507,30.484,62.348,0
4.5,32.507,30.472,62.155,0
4.6,32.506,30.46,61.964,0
4.7,32.503,30.446,61.78,0
4.8,32.498,30.43,61.598,0
4.9,32.494,30.416,61.412,0
5,32.491,30.404,61.22,0
5.1,32.488,30.392,61.025,0
5.2,32.484,30.382,60.826,-0.0017381
5.3,32.481,30.372,60.621,-0.013711
5.4,32.478,30.364,60.411,-0.029807
5.5,32.477,30.359,60.191,-0.05526
5.6,32.475,30.354,59.972,-0.077312
5.7,32.473,30.349,59.775,-0.076456
5.8,32.468,30.342,59.593,-0.070156
5.9,32.462,30.333,59.403,-0.066867
6,32.454,30.32,59.187,-0.08206
6.1,32.446,30.306,58.966,-0.10372
6.2,32.442,30.301,58.768,-0.10227
6.3,32.441,30.299,58.589,-0.069532
6.4,32.439,30.298,58.415,-0.035032
6.5,32.436,30.292,58.239,-0.01838
6.6,32.431,30.283,58.064,-0.0056107
6.7,32.425,30.275,57.887,-1.0747e-05
6.8,32.42,30.269,57.706,-0.013402
6.9,32.414,30.264,57.521,-0.043086
7,32.409,30.26,57.332,-0.070089
7.1,32.404,30.257,57.137,-0.098744
7.2,32.4,30.255,56.938,-0.11979
7.3,32.392,30.252,56.741,-0.11253
7.4,32.38,30.249,56.544,-0.077419
7.5,32.367,30.246,56.348,-0.058107
7.6,32.354,30.244,56.156,-0.078699
7.7,32.342,30.241,55.964,-0.10876
7.8,32.328,30.235,55.766,-0.1131
7.9,32.311,30.225,55.562,-0.09386
8,32.3,30.22,55.356,-0.068938
8.1,32.302,30.225,55.148,-0.04613
8.2,32.306,30.232,54.939,-0.022155
8.3,32.311,30.238,54.725,-0.0089294
8.4,32.314,30.238,54.502,-0.0037666
8.5,32.317,30.237,54.279,-0.00060078
8.6,32.321,30.236,54.071,0
8.7,32.326,30.236,53.878,0
8.8,32.333,30.236,53.689,0
8.9,32.339,30.235,53.499,0.0058699
9,32.346,30.235,53.309,0.049763
9.1,32.353,30.233,53.119,0.097985
9.2,32.358,30.231,52.93,0.10571
9.3,32.363,30.228,52.742,0.071678
9.4,32.367,30.225,52.556,0.028899
9.5,32.368,30.22,52.371,0.0092396
9.6,32.363,30.209,52.192,0.0039545
9.7,32.355,30.197,52.012,0.00072319
9.8,32.354,30.19,51.818,0
9.9,32.364,30.195,51.607,0
10,32.375,30.198,51.386,0
10.1,32.374,30.191,51.159,0.010345
10.2,32.373,30.182,50.925,0.032952
10.3,32.373,30.173,50.685,0.033393
10.4,32.374,30.165,50.439,0.011266
10.5,32.375,30.157,50.193,0
10.6,32.375,30.148,49.948,0
10.7,32.375,30.14,49.703,0
10.8,32.377,30.135,49.457,0
10.9,32.386,30.136,49.209,0
11,32.392,30.134,48.966,5.5774e-09
11.1,32.388,30.124,48.733,0.031492
11.2,32.383,30.112,48.504,0.086295
11.3,32.381,30.106,48.273,0.10589
