time,ego_velocity,leader_velocity,ego_acceleration,leader_acceleration,space_gap
0.0,32.493,31.043,0.0,0.0,72.653
0.1,32.47541242938985,31.043,-0.1758757061015464,0.0,72.50887937853051
0.2,32.44199750058205,31.04,-0.33414928807801647,-0.030000000000001137,72.36715888203192
0.3,32.39434048422122,31.035,-0.47657016360827004,-0.049999999999990066,72.22909198279176
0.4,32.333869181799756,31.023,-0.6047130242145979,-0.1200000000000045,72.0955814994907
0.5,32.261869156153175,31.011,-0.7200002564658372,-0.12000000000000458,71.96749458259306
0.6,32.179498470743475,31.002,-0.8237068540969713,-0.09000000000000342,71.84607620124822
0.7,32.087800645511685,30.992,-0.916978252317939,-0.09999999999998013,71.73241124543547
0.8,31.987715711447898,30.98,-1.0008493406378849,-0.12000000000000444,71.6272354275875
0.9,31.88009041429009,30.969,-1.0762529715780702,-0.10999999999999235,71.53129512130059
1.0,31.768411280221045,30.958,-1.1167913406904495,-0.11000000000002788,71.44522003657504
1.1,31.655532857888808,30.945,-1.1287842233223842,-0.12999999999998113,71.36917282966955
1.2,31.54350900518866,30.93,-1.1202385270014825,-0.15000000000000588,71.30297073651568
1.3,31.4338840536386,30.914,-1.0962495155005951,-0.15999999999998224,71.24630108357431
1.4,31.32790552570957,30.9,-1.059785279290299,-0.14000000000002918,71.1989116046069
1.5,31.22552485104884,30.887,-1.0238067466073377,-0.12999999999998113,71.16059008576899
1.6,31.126382244292788,30.873,-0.9914260675604873,-0.13999999999999335,71.1309947310019
1.7,31.030153898635085,30.86,-0.9622834565770374,-0.13000000000001694,71.10981792385552
1.8,30.936548387967598,30.846,-0.9360551066748625,-0.13999999999999335,71.09678280952538
1.9,30.8453034287931,30.833,-0.9124495917450117,-0.13000000000001694,71.09164021868735
2.0,30.75618296596416,30.82,-0.891204628289359,-0.12999999999998113,71.09421589894949
2.1,30.66897454984821,30.808,-0.8720841611595105,-0.12000000000000444,71.10435802315887
2.2,30.583486975776026,30.799,-0.8548757407218308,-0.09000000000000333,71.12208494687765
2.3,30.499548159545434,30.789,-0.839388162305942,-0.09999999999998047,71.14733319011158
2.4,30.417003225374593,30.772,-0.8254493417084028,-0.17000000000003,71.17955562086559
2.5,30.33571278506518,30.751,-0.8129044030941156,-0.20999999999997224,71.2180698203436
2.6,30.25555138925599,30.735,-0.801613958091894,-0.16000000000001777,71.26280661162754
2.7,30.176406133531984,30.729,-0.7914525572400805,-0.06000000000000222,71.31440873548814
2.8,30.098396141227997,30.714,-0.7800999230398635,-0.1500000000000062,71.37281862175014
2.9,30.021707907571642,30.693,-0.7668823365635402,-0.20999999999997224,71.43716341931017
3.0,29.946521720912735,30.674,-0.7518618665890836,-0.19000000000001888,71.50710193788595
3.1,29.87307002381338,30.664,-0.7345169709935563,-0.09999999999998002,71.58302235064964
3.2,29.801738662219336,30.657,-0.7133136159404481,-0.07000000000001444,71.66533191634801
3.3,29.733117597785935,30.645,-0.6862106443340108,-0.12000000000000498,71.75368910334774
3.4,29.668012567354474,30.631,-0.6510503043146202,-0.13999999999999335,71.84743259509072
3.5,29.607626055128286,30.618,-0.6038651222618714,-0.13000000000001666,71.94610066396659
