weather_condition,time_headway,relative_velocity,acceleration
bad,dangerous,approaching_fast,strong_deceleration
bad,dangerous,approaching,medium_deceleration
bad,dangerous,steady,medium_deceleration
bad,dangerous,moving_away,light_deceleration
bad,dangerous,moving_away_fast,light_deceleration
bad,short,approaching_fast,strong_deceleration
bad,short,approaching,medium_deceleration
bad,short,steady,light_deceleration
bad,short,moving_away,zero_acceleration
bad,short,moving_away_fast,light_acceleration
bad,adequate,approaching_fast,strong_deceleration
bad,adequate,approaching,medium_deceleration
bad,adequate,steady,zero_acceleration
bad,adequate,moving_away,light_acceleration
bad,adequate,moving_away_fast,medium_acceleration
bad,long,approaching_fast,medium_deceleration
bad,long,approaching,light_deceleration
bad,long,steady,zero_acceleration
bad,long,moving_away,light_acceleration
bad,long,moving_away_fast,medium_acceleration
bad,very_long,approaching_fast,medium_deceleration
bad,very_long,approaching,light_deceleration
bad,very_long,steady,light_acceleration
bad,very_long,moving_away,medium_acceleration
bad,very_long,moving_away_fast,strong_acceleration
good,dangerous,approaching_fast,medium_deceleration
good,dangerous,approaching,light_deceleration
good,dangerous,steady,light_deceleration
good,dangerous,moving_away,zero_acceleration
good,dangerous,moving_away_fast,light_acceleration
good,short,approaching_fast,medium_deceleration
good,short,approaching,light_deceleration
good,short,steady,zero_acceleration
good,short,moving_away,light_acceleration
good,short,moving_away_fast,medium_acceleration
good,adequate,approaching_fast,medium_deceleration
good,adequate,approaching,light_deceleration
good,adequate,steady,zero_acceleration
good,adequate,moving_away,light_acceleration
good,adequate,moving_away_fast,medium_acceleration
good,long,approaching_fast,light_deceleration
good,long,approaching,light_deceleration
good,long,steady,light_acceleration
good,long,moving_away,medium_acceleration
good,long,moving_away_fast,strong_acceleration
good,very_long,approaching_fast,light_deceleration
good,very_long,approaching,zero_acceleration
good,very_long,steady,light_acceleration
good,very_long,moving_away,medium_acceleration
good,very_long,moving_away_fast,strong_acceleration
